2	2072 2211	X?]?
1	3	Don�t you think POTUS would be tweeting about removal given clear conflict.
1	179	(Movie idea � thoughts?)
1	666	Stock market DIVE [666 - coincidence?].
1	1351	No leaks [unusual?]
1	1553	(Who needs a SC with that type of manpower?)
1	1764	WH visitor logs: NO NAME/HUSSEIN (dates?)
1	1764	WH visitor logs: NO NAME/BRENNAN/HUSSEIN (dates?)
1	1764	WH visitor logs: NO NAME/BRENNAN/COMEY/HUSSEIN (dates?)
1	1764	WH visitor logs: NO NAME/BRENNAN/CLAPPER/RICE/HUSSEIN (dates?)
1	1975	"What are the odds that the FBI and DOJ are right on top of this?"
1	2123	Note the time?
1	2123	Note Apple�s stock image(s)?
1	2523	Questioning: Graham > KAV re: 'enemy combatants' [unusual?]
1	2658	(What if HRC won and appointed 2+ crooked SCJs?)
1	2689	>(-2) Laws enacted in battleground areas as test for 2020 (voter roll screening/review of non_votes (D) > ballot pop > track for sign > submit late for count) - vote swing figures + rule of law (new standard of no show vote SC 2019 scope case?)
1	2689	(illegal immigrants?)
1	2776	�Why were efforts made to continue investigating the President, interrupt his official capacity in governing, if the only doc presented was unsubstantiated and unverified?� �Why were questions and threat of subpoena communicated to the President if no factual foundation existed?�
1	2776	�All charges thus far are unrelated to the original mandate - why are you still active and pursuing a crime if no verifiable evidence or evidence through discovery exists?�
1	2971	"you will be asked to give proof of your identity" synonyms:	evidence, verification, corroboration, authentication, confirmation, certification, validation, attestation, demonstration, substantiation, witness, testament; PROOF = EVIDENCE?
1	3131	[Will the rich & powerful influence the court to prevent the unsealing?]
1	3588	IG? ����..
1	3693	Who listened in [2] count [FISA?]
1	3785	President?"
1	3798	Play a game of 'Where Are They Now?'.
1	3896	[China pref Biden[+VP] as P?]
1	4122	Q: Can I obtain detailed information about a current FBI investigation that I see in the news?
1	4127	[note: they all read from a teleprompter - who controls the message?]
1	4454	At the same time, they gave more power to their obedient followers, like Antifa, while keeping the rest of us trapped at home and censored online." virus OR ELECTION?
1	4477	Q: can we prove it?
1	4477	Q: can we prove coordination?
1	4477	Q: can we prove deliberate action to inc death count to justify vote-by-mail, stay-at-home, bail-out-state, kill-economy, kill-P-rallies, inc unemployment, etc?
1	4817	1st C19 case lands @ Seattle-Tacoma Airport [attack v POTUS?]
1	4817	Mathematical probability [same day][natural vs controlled?]
1	4844	Wasn't referring to Kansas' statement re: Clinton emails.
1	4891	Biden risk turning over such material to a computer repair shop? [contents unrestricted?]
