recordId,postNum,storedPhrase,sentenceText,directivePhrase,authorshipState,sourceType,priorRuling,v3Ruling,proposedRuling,themes,reason
"1025#0","1025","God bless, Q","God bless, Q","God bless,","Q_AUTHORED_CURRENT_POST","Q_BODY","NEEDS_CONTEXT","","REMOVE_BLESSING_OR_VALEDICTION","","blessing/valediction, Q signature cut into its own span (rule 7)"
"107#0","107","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","Note when we just sent the go orders and when this Tweet went live.","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_QUOTED_OR_THIRD_PARTY","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation"
"1085#1","1085","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1106#1","1106","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1252#1","1252","Learn the TRUTH.","It’s time to learn the TRUTH.","learn the TRUTH.","Q_AUTHORED_CURRENT_POST","Q_BODY","KEEP_Q_DIRECTIVE","KEEP_Q_DIRECTIVE","NEEDS_FRAGMENT_REVIEW","","OWNER RULING R5: stored phrase is clipped from the middle of a longer sentence; part-of-speech of the leading word must be read from the complete sentence by an editor."
"1266#2","1266","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1359#0","1359","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.""","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.”","Trade between Germany and Iran reached 3.4 billion euros ($4 billion) last year, according to BGA, another foreign trade association.”","QUOTED_OR_EMBEDDED","QUOTED_THIRD_PARTY","KEEP_Q_DIRECTIVE","","REMOVE_QUOTED_OR_THIRD_PARTY","","self-contained quotation: one line opening and closing on quotation marks, paragraph length"
"151#0","151","Have faith, Patriots.","Have faith, Patriots.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"1520#0","1520","Have faith.","Have faith.","have faith","Q_AUTHORED_CURRENT_POST","Q_BODY","REMOVE_STATEMENT_OR_HEADING","REMOVE_STATEMENT_OR_HEADING","KEEP_Q_DIRECTIVE","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"154#1","154","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us,","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us,","Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us,","QUOTED_OR_EMBEDDED","QUOTED_PRAYER","NEEDS_CONTEXT","","REMOVE_PRAYER_TEXT","","reproduced prayer text (continuation)"
